entity,code,year,drug_death_rate,gdp_per_capita,owid_region,log_gdp,income_group,income_q,drug_q
Afghanistan,AFG,2019,1.29,2927.245,Asia,7.981816986639579,Poorer half,0,3
Albania,ALB,2019,0.87,16761.193,Europe,9.726821552887047,Richer half,2,2
Algeria,DZA,2019,1.14,15199.199,Africa,9.628998008077392,Poorer half,1,3
Andorra,AND,2019,0.13,63215.9,Europe,11.054311130771914,Richer half,3,0
Angola,AGO,2019,0.27,9648.011,Africa,9.174507059098987,Poorer half,1,1
Antigua and Barbuda,ATG,2019,0.58,29651.863,North America,10.297280235504235,Richer half,2,2
Argentina,ARG,2019,0.09,26629.553,South America,10.189776893086925,Richer half,2,0
Armenia,ARM,2019,0.34,16215.36,Asia,9.69371422016009,Richer half,2,1
Australia,AUS,2019,5.54,58048.617,Oceania,10.969036162552829,Richer half,3,3
Austria,AUT,2019,1.73,64609.375,Europe,11.076114803080257,Richer half,3,3
Azerbaijan,AZE,2019,0.24,20101.492,Asia,9.908549320148063,Richer half,2,1
Bahamas,BHS,2019,0.34,33202.49,North America,10.41038015209222,Richer half,2,1
Bahrain,BHR,2019,0.37,56749.96,Asia,10.946410230497586,Richer half,3,1
Bangladesh,BGD,2019,0.36,6838.326,Asia,8.830298243821543,Poorer half,1,1
Barbados,BRB,2019,0.19,20737.979,North America,9.939722032483898,Richer half,2,1
Belarus,BLR,2019,2.28,26798.82,Europe,10.196113135678859,Richer half,2,3
Belgium,BEL,2019,1.44,60479.977,Europe,11.010067630562338,Richer half,3,3
Belize,BLZ,2019,0.11,11765.975,North America,9.372967170655869,Poorer half,1,0
Benin,BEN,2019,0.03,3281.1047,Africa,8.0959354434547,Poorer half,0,0
Bhutan,BTN,2019,0.39,14555.188,Asia,9.585702772619838,Poorer half,1,1
Bolivia,BOL,2019,0.48,11930.916,South America,9.38688829336824,Poorer half,1,2
Bosnia and Herzegovina,BIH,2019,0.18,17029.367,Europe,9.742694603265395,Richer half,2,1
Botswana,BWA,2019,0.39,18106.01,Africa,9.803999206338338,Richer half,2,1
Brazil,BRA,2019,0.52,18018.621,South America,9.799161002151928,Richer half,2,2
Brunei,BRN,2019,0.24,80228.16,Asia,11.292629854420147,Richer half,3,1
Bulgaria,BGR,2019,0.2,29150.043,Europe,10.280211666906196,Richer half,2,1
Burkina Faso,BFA,2019,0.03,2391.5364,Africa,7.779691283577382,Poorer half,0,0
Burundi,BDI,2019,0.54,1057.9501,Africa,6.964088446844719,Poorer half,0,2
Cambodia,KHM,2019,0.14,6448.885,Asia,8.771662526629331,Poorer half,1,0
Cameroon,CMR,2019,0.03,4882.3555,Africa,8.493383066818767,Poorer half,0,0
Canada,CAN,2019,11.67,57583.848,North America,10.96099739069321,Richer half,3,3
Cape Verde,CPV,2019,0.07,9111.63,Africa,9.117306898508025,Poorer half,1,0
Central African Republic,CAF,2019,0.18,1145.0956,Africa,7.043243405952738,Poorer half,0,1
Chad,TCD,2019,0.02,2604.5315,Africa,7.865008091564019,Poorer half,0,0
Chile,CHL,2019,0.31,28218.535,South America,10.247734310522752,Richer half,2,1
China,CHN,2019,0.75,18820.514,Asia,9.842702724137304,Richer half,2,2
Colombia,COL,2019,0.33,17336.771,South America,9.760585016154348,Richer half,2,1
Comoros,COM,2019,0.87,3451.4214,Africa,8.146541425176709,Poorer half,0,2
Congo,COG,2019,0.29,6939.369,Africa,8.844966127176976,Poorer half,1,1
Costa Rica,CRI,2019,0.59,23364.783,North America,10.05898516769572,Richer half,2,2
Cote d'Ivoire,CIV,2019,0.03,5894.879,Africa,8.681839286891432,Poorer half,0,0
Croatia,HRV,2019,2.22,35122.85,Europe,10.466607194798227,Richer half,2,3
Cyprus,CYP,2019,1.3,45454.363,Europe,10.724464090597902,Richer half,3,3
Czechia,CZE,2019,0.55,47763.617,Europe,10.774019478029718,Richer half,3,2
Democratic Republic of Congo,COD,2019,0.24,1394.7646,Africa,7.240480934496626,Poorer half,0,1
Denmark,DNK,2019,4.07,67131.47,Europe,11.114408214503262,Richer half,3,3
Djibouti,DJI,2019,1.08,5809.3047,Africa,8.66721616970695,Poorer half,0,3
Dominica,DMA,2019,0.5,17619.434,North America,9.77675777638626,Richer half,2,2
Dominican Republic,DOM,2019,0.08,21451.287,North America,9.973539922556235,Richer half,2,0
East Timor,TLS,2019,0.09,5103.1494,Asia,8.537613157531355,Poorer half,0,0
Ecuador,ECU,2019,0.26,13870.489,South America,9.53751876863549,Poorer half,1,1
Egypt,EGY,2019,0.1,15026.568,Africa,9.617575113359344,Poorer half,1,0
El Salvador,SLV,2019,0.42,10543.938,North America,9.263306376603605,Poorer half,1,2
Equatorial Guinea,GNQ,2019,0.35,18446.592,Africa,9.822634916959519,Richer half,2,1
Estonia,EST,2019,2.73,42218.96,Europe,10.650624688223504,Richer half,3,3
Eswatini,SWZ,2019,0.67,10099.586,Africa,9.220249711890224,Poorer half,1,2
Ethiopia,ETH,2019,0.16,2437.9705,Africa,7.798921209885976,Poorer half,0,1
Fiji,FJI,2019,0.07,13056.331,Oceania,9.477028429210955,Poorer half,1,0
Finland,FIN,2019,5.13,56922.49,Europe,10.949445796854848,Richer half,3,3
France,FRA,2019,1.96,53448.555,Europe,10.886474881475962,Richer half,3,3
Gabon,GAB,2019,0.38,19491.406,Africa,9.877728929458423,Richer half,2,1
Gambia,GMB,2019,0.03,2750.8213,Africa,7.91965480061768,Poorer half,0,0
Georgia,GEO,2019,0.95,18186.88,Asia,9.808455733985713,Richer half,2,2
Germany,DEU,2019,1.96,62849.375,Europe,11.048496269657095,Richer half,3,3
Ghana,GHA,2019,0.02,6508.2466,Africa,8.780825359446498,Poorer half,1,0
Greece,GRC,2019,2.43,33502.75,Europe,10.419382803996234,Richer half,2,3
Grenada,GRD,2019,0.68,17036.916,North America,9.743137798087886,Richer half,2,2
Guatemala,GTM,2019,1.32,11466.377,North America,9.347174292746393,Poorer half,1,3
Guinea,GIN,2019,0.02,3557.4624,Africa,8.176802760688195,Poorer half,0,0
Guinea-Bissau,GNB,2019,0.02,2442.1067,Africa,7.800616347409802,Poorer half,0,0
Guyana,GUY,2019,0,13402.422,South America,9.503190715875022,Poorer half,1,0
Haiti,HTI,2019,0.41,3392.4326,North America,8.129302524157207,Poorer half,0,1
Honduras,HND,2019,0.69,6264.019,North America,8.742577270871658,Poorer half,1,2
Hungary,HUN,2019,0.47,37662.676,Europe,10.536424856510944,Richer half,3,2
Iceland,ISL,2019,10.01,64826.434,Europe,11.079468731257453,Richer half,3,3
India,IND,2019,0.62,7930.0913,Asia,8.978419827803474,Poorer half,1,2
Indonesia,IDN,2019,0.17,12757.785,Asia,9.453896952488714,Poorer half,1,1
Iran,IRN,2019,3.2,14841.075,Asia,9.605153953450868,Poorer half,1,3
Iraq,IRQ,2019,0.98,14910.225,Asia,9.609802498188182,Poorer half,1,2
Ireland,IRL,2019,4.1,96371.29,Europe,11.47596361466422,Richer half,3,3
Israel,ISR,2019,1.17,44580.81,Asia,10.705058776357568,Richer half,3,3
Italy,ITA,2019,0.87,49690.63,Europe,10.813571663123358,Richer half,3,2
Jamaica,JAM,2019,0.15,10816.372,North America,9.288816191182427,Poorer half,1,0
Japan,JPN,2019,0.19,44730.91,Asia,10.708420040507901,Richer half,3,1
Jordan,JOR,2019,0.07,9288.527,Asia,9.136535261647495,Poorer half,1,0
Kazakhstan,KAZ,2019,2.17,33298.21,Asia,10.413258920769996,Richer half,2,3
Kenya,KEN,2019,0.34,5171.7124,Africa,8.55095913123038,Poorer half,0,1
Kiribati,KIR,2019,5.01,2927.4846,Oceania,7.981898834996891,Poorer half,0,3
Kuwait,KWT,2019,1.03,51380.645,Asia,10.84701682410785,Richer half,3,2
Kyrgyzstan,KGZ,2019,0.94,6087.602,Asia,8.714009522897289,Poorer half,0,2
Laos,LAO,2019,0.11,8075.275,Asia,8.996562203238529,Poorer half,1,0
Latvia,LVA,2019,1.43,35208.195,Europe,10.469034146989564,Richer half,3,3
Lebanon,LBN,2019,0.34,15659.566,Asia,9.65883725523994,Richer half,2,1
Lesotho,LSO,2019,0.77,2773.2864,Africa,7.927788321927024,Poorer half,0,2
Liberia,LBR,2019,0.02,1575.7666,Africa,7.362497163003762,Poorer half,0,0
Libya,LBY,2019,3.22,14337.196,Africa,9.570612558074213,Poorer half,1,3
Lithuania,LTU,2019,2.63,43062.324,Europe,10.670403740664934,Richer half,3,3
Luxembourg,LUX,2019,2.36,132724.75,Europe,11.796032713856201,Richer half,3,3
Madagascar,MDG,2019,0.45,1707.8315,Africa,7.442979716086164,Poorer half,0,2
Malawi,MWI,2019,0.55,1687.2894,Africa,7.430878614958517,Poorer half,0,2
Malaysia,MYS,2019,0.17,31300.508,Asia,10.351389606428487,Richer half,2,1
Maldives,MDV,2019,0.38,21855.502,Asia,9.9922079766058,Richer half,2,1
Mali,MLI,2019,0.02,2916.1716,Africa,7.978026939133715,Poorer half,0,0
Malta,MLT,2019,1.12,53391.438,Europe,10.88540567501427,Richer half,3,3
Marshall Islands,MHL,2019,0.13,6405.0757,Oceania,8.764846033152484,Poorer half,1,0
Mauritania,MRT,2019,0.03,6162.2104,Africa,8.726190823331889,Poorer half,1,0
Mauritius,MUS,2019,2.86,26047.975,Africa,10.16769530903522,Richer half,2,3
Mexico,MEX,2019,0.36,21704.186,North America,9.985260424150923,Richer half,2,1
Micronesia (country),FSM,2019,0.14,3940.2644,Oceania,8.279003106639417,Poorer half,0,0
Moldova,MDA,2019,0.23,14621.24,Europe,9.59023054502863,Poorer half,1,1
Mongolia,MNG,2019,0.67,15790.696,Asia,9.667176184808973,Richer half,2,2
Montenegro,MNE,2019,0.21,24585.219,Europe,10.109900687677017,Richer half,2,1
Morocco,MAR,2019,1.34,8768.176,Africa,9.078884081979037,Poorer half,1,3
Mozambique,MOZ,2019,0.42,1528.8899,Africa,7.332297195488106,Poorer half,0,2
Myanmar,MMR,2019,0.11,6562.989,Asia,8.789201418409542,Poorer half,1,0
Namibia,NAM,2019,0.32,10813.305,Africa,9.28853259933586,Poorer half,1,1
Nauru,NRU,2019,0.16,11183.096,Oceania,9.322158631449895,Poorer half,1,1
Nepal,NPL,2019,0.33,4607.5244,Asia,8.435445985243467,Poorer half,0,1
Netherlands,NLD,2019,1.6,67847.85,Europe,11.125022977214897,Richer half,3,3
New Zealand,NZL,2019,1.5,47362.32,Oceania,10.765582254844576,Richer half,3,3
Nicaragua,NIC,2019,0.08,6756.5938,North America,8.818274166309324,Poorer half,1,0
Niger,NER,2019,0.02,1612.6373,Africa,7.385626192331925,Poorer half,0,0
Nigeria,NGA,2019,0.03,8361.787,Africa,9.031427439217055,Poorer half,1,0
North Macedonia,MKD,2019,0.69,21766.975,Europe,9.98814919188659,Richer half,2,2
Norway,NOR,2019,6.08,87725.73,Europe,11.381970521875898,Richer half,3,3
Oman,OMN,2019,0.55,38292.387,Asia,10.553006382564844,Richer half,3,2
Pakistan,PAK,2019,0.49,5295.953,Asia,8.574698222955108,Poorer half,0,2
Palau,PLW,2019,0,19519.018,Oceania,9.879144551324575,Richer half,2,0
Panama,PAN,2019,0.41,33163.727,North America,10.409211997384594,Richer half,2,1
Papua New Guinea,PNG,2019,0.08,4301.6113,Oceania,8.366744952421532,Poorer half,0,0
Paraguay,PRY,2019,0.21,15321.324,South America,9.637000862536834,Poorer half,1,1
Peru,PER,2019,0.05,15463.543,South America,9.64624046794243,Poorer half,1,0
Philippines,PHL,2019,0.11,9452.294,Asia,9.154012742351204,Poorer half,1,0
Poland,POL,2019,0.32,38181.62,Europe,10.55010952697152,Richer half,3,1
Portugal,PRT,2019,0.67,40188.285,Europe,10.601330814226214,Richer half,3,2
Qatar,QAT,2019,0.35,113160.836,Asia,11.636565413157744,Richer half,3,1
Romania,ROU,2019,0.2,36399.625,Europe,10.502313751373961,Richer half,3,1
Russia,RUS,2019,4.27,37319.32,Europe,10.527266434002138,Richer half,3,3
Rwanda,RWA,2019,0.8,2667.4646,Africa,7.888883712234992,Poorer half,0,2
Saint Kitts and Nevis,KNA,2019,0.19,31512.193,North America,10.358129829282912,Richer half,2,1
Saint Lucia,LCA,2019,0.22,22738.248,North America,10.03180371948154,Richer half,2,1
Saint Vincent and the Grenadines,VCT,2019,0,16365.325,North America,9.70292004619424,Richer half,2,0
Samoa,WSM,2019,0.12,7033.521,Oceania,8.858442712904532,Poorer half,1,0
San Marino,SMR,2019,0.15,60171.047,Europe,11.00494656876103,Richer half,3,0
Sao Tome and Principe,STP,2019,0.13,5702.0835,Africa,8.648586913349963,Poorer half,0,0
Saudi Arabia,SAU,2019,0.1,62647.73,Asia,11.045282726627079,Richer half,3,0
Senegal,SEN,2019,0.03,4070.6123,Africa,8.31154870938178,Poorer half,0,0
Serbia,SRB,2019,0.78,21541.215,Europe,9.97772335580482,Richer half,2,2
Seychelles,SYC,2019,0.82,34346.07,Africa,10.444242880624767,Richer half,2,2
Sierra Leone,SLE,2019,0.03,2852.6626,Africa,7.956008082740915,Poorer half,0,0
Singapore,SGP,2019,0.55,120114.13,Asia,11.69619765310433,Richer half,3,2
Slovakia,SVK,2019,0.37,37209.535,Europe,10.524320324621897,Richer half,3,1
Slovenia,SVN,2019,2.45,44569.586,Europe,10.704806977138206,Richer half,3,3
Solomon Islands,SLB,2019,0.11,2661.6167,Oceania,7.886688999105983,Poorer half,0,0
Somalia,SOM,2019,0.51,1491.2949,Africa,7.307400081927846,Poorer half,0,2
South Africa,ZAF,2019,1.85,14352.67,Africa,9.571691266598016,Poorer half,1,3
South Korea,KOR,2019,0.09,49790.867,Asia,10.81558685261979,Richer half,3,0
Spain,ESP,2019,1.76,46896.418,Europe,10.755696576251108,Richer half,3,3
Sri Lanka,LKA,2019,0.6,14637.444,Asia,9.591338182108732,Poorer half,1,2
Sudan,SDN,2019,1.04,3625.5232,Africa,8.195753887908536,Poorer half,0,3
Suriname,SUR,2019,0.6,22966.74,South America,10.041802361361924,Richer half,2,2
Sweden,SWE,2019,4.31,61601.63,Europe,11.028443610210484,Richer half,3,3
Switzerland,CHE,2019,2.68,79596.7,Europe,11.284727913686664,Richer half,3,3
Syria,SYR,2019,0.72,4825.4062,Asia,8.481650196758096,Poorer half,0,2
Tajikistan,TJK,2019,0.2,3649.8838,Asia,8.202450610453335,Poorer half,0,1
Tanzania,TZA,2019,0.62,3484.6326,Africa,8.156117894394736,Poorer half,0,2
Thailand,THA,2019,0.25,21277.84,Asia,9.965421434544327,Richer half,2,1
Togo,TGO,2019,0.03,2577.516,Africa,7.854581423437319,Poorer half,0,0
Tonga,TON,2019,0.11,6858.839,Oceania,8.833293464414384,Poorer half,1,0
Trinidad and Tobago,TTO,2019,0.5,33748.707,North America,10.426697384455675,Richer half,2,2
Tunisia,TUN,2019,1.38,13243.902,Africa,9.491292499062594,Poorer half,1,3
Turkey,TUR,2019,0.42,28741.053,Asia,10.266081797792728,Richer half,2,2
Turkmenistan,TKM,2019,1.26,15231.306,Asia,9.631108194018378,Poorer half,1,3
Tuvalu,TUV,2019,0.18,5292.0303,Oceania,8.573957250842037,Poorer half,0,1
Uganda,UGA,2019,0.42,2689.4102,Africa,7.897077192050086,Poorer half,0,2
Ukraine,UKR,2019,1.95,17636.555,Europe,9.777729015703692,Richer half,2,3
United Arab Emirates,ARE,2019,0.69,72822.97,Asia,11.195786706396207,Richer half,3,2
United Kingdom,GBR,2019,7.24,52515.684,Europe,10.868867146822096,Richer half,3,3
United States,USA,2019,20.25,69112.6,North America,11.143492337561401,Richer half,3,3
Uruguay,URY,2019,0.47,30010.574,South America,10.309305065209175,Richer half,2,2
Uzbekistan,UZB,2019,0.38,8755.126,Asia,9.077394636392519,Poorer half,1,1
Vanuatu,VUT,2019,0.11,3512.072,Oceania,8.163961455683815,Poorer half,0,0
Vietnam,VNM,2019,1.23,11628.614,Asia,9.361224063862277,Poorer half,1,3
Zambia,ZMB,2019,0.56,3591.5642,Africa,8.186343096894559,Poorer half,0,2
Zimbabwe,ZWE,2019,0.48,4993.8438,Africa,8.515961192817526,Poorer half,0,2
